"International travellers entering or returning to Canada, by province of entry, seasonally adjusted" 1 2 3 4
"Monthly"
"Table: 24-10-0005-01 (formerly CANSIM 427-0005)"
"Geography: Canada, Province or territory"

"","Canada",,,,,,,,
"Traveller category","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020"
"","Persons",,,,,,,,
"Total non resident travellers","2,712,470","2,689,026","1,181,042","112,454","84,835","85,541","79,156","95,776","124,624"
"Total Canadian travellers returning from abroad","4,671,016","4,780,872","2,837,908","162,886","189,057","276,268","270,653","281,672","342,923"

Symbol legend:

Footnotes:
1,Seasonally adjusted data have been produced using X12 ARIMA seasonal adjustment program.
2,"Travel data for NEXUS Highway, which is a program designed to expedite the border clearance process for low-risk, pre-approved travellers into Canada and the United States, are now included. Monthly data has been revised back to January 2010 to reflect this change."
3,"In 2013, Statistics Canada updated the method used to estimate the number of same-day and overnight commercial plane trips made by United States residents entering Canada via one of the following three airports: Pearson (Toronto), Trudeau (Montréal) and Vancouver. This change created a break in the time series on the number of same-day and overnight commercial air trips made by American residents entering Quebec, Ontario and British Columbia. Please note that the methodological update does not affect the total number of United States residents travelling to Canada by commercial air. The 2013 and 2014 data on the number of same-day and overnight commercial air trips made by United States residents, however, have been revised."
4,Figures may not add up to totals due to rounding.

"How to cite: Statistics Canada. Table 24-10-0005-01 International travellers entering or returning to Canada, by province of entry, seasonally adjusted"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=2410000501
DOI: https://doi.org/10.25318/2410000501-eng
